id	stage	goals	team	opponent	year	host	GDP	max1	max2	odds	population	age	market_value	FIFA_rank	FIFA_points	UEFA_rank	UEFA_points	CL_players	EL_players	vicinity	age_coach	nationality_coach	foreigners	host_opponent	GDP_opponent	max1_opponent	max2_opponent	odds_opponent	population_opponent	age_opponent	market_value_opponent	FIFA_rank_opponent	FIFA_points_opponent	UEFA_rank_opponent	UEFA_points_opponent	CL_players_opponent	EL_players_opponent	vicinity_opponent	age_coach_opponent	nationality_coach_opponent	foreigners_opponent	phase
33	group	0	Turkey	Portugal	2008	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	group
34	group	1	Czech Republic	Portugal	2008	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	group
34	group	3	Portugal	Czech Republic	2008	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	group
35	group	1	Switzerland	Turkey	2008	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	group
35	group	2	Turkey	Switzerland	2008	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	group
36	group	2	Switzerland	Portugal	2008	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	group
36	group	0	Portugal	Switzerland	2008	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	1	65800	3	2	22	15.84280239	26	3.56	48	617	16	24.225	0	0	1	64	1	16	group
37	group	3	Turkey	Czech Republic	2008	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	group
37	group	2	Czech Republic	Turkey	2008	0	20729	3	3	15	16.15550029	28.4	4.87	6	1244	15	25.75	1	1	1	68	1	20	0	10298	7	5	35	18.07234601	26.4	4.64	25	856	11	31.725	0	1	0	54	1	7	group
38	group	0	Austria	Croatia	2008	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	group
38	group	1	Croatia	Austria	2008	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	group
39	group	2	Germany	Poland	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	group
39	group	0	Poland	Germany	2008	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	group
40	group	2	Croatia	Germany	2008	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	group
40	group	1	Germany	Croatia	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	group
41	group	1	Austria	Poland	2008	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	group
41	group	1	Poland	Austria	2008	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	group
42	group	0	Austria	Germany	2008	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	group
42	group	1	Germany	Austria	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	1	49679	4	2	75	15.93400357	26	1.91	101	328	20	17.7	0	0	1	60	1	10	group
43	group	0	Poland	Croatia	2008	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	group
43	group	1	Croatia	Poland	2008	0	15767	4	4	12	15.30535402	27.2	5.67	13	1044	27	11.624	0	0	0	39	1	20	0	13886	3	2	35	17.45613528	26.65	2.58	27	848	25	12.041	0	0	0	65	0	13	group
44	group	0	Romania	France	2008	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	group
44	group	0	France	Romania	2008	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	group
45	group	3	Netherlands	Italy	2008	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	group
45	group	0	Italy	Netherlands	2008	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	group
46	group	1	Italy	Romania	2008	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	group
46	group	1	Romania	Italy	2008	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	group
47	group	4	Netherlands	France	2008	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	group
47	group	1	France	Netherlands	2008	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	group
48	group	0	France	Italy	2008	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	group
48	group	2	Italy	France	2008	0	38563	4	4	5.5	17.90348974	28.7	15.27	3	1396	3	60.41	1	2	1	44	1	4	0	44117	7	3	8	17.97450603	27.4	14.08	7	1205	4	52.668	7	3	1	56	1	13	group
49	group	2	Netherlands	Romania	2008	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	group
49	group	0	Romania	Netherlands	2008	0	9300	5	3	35	16.8848941	26.5	3.87	12	1082	7	40.599	0	1	0	52	1	12	0	52951	3	3	11	16.61312105	27.7	10.1	10	1123	9	38.213	2	0	0	43	1	14	group
50	group	4	Spain	Russia	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	group
50	group	1	Russia	Spain	2008	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	group
51	group	0	Greece	Sweden	2008	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	group
51	group	2	Sweden	Greece	2008	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	group
52	group	1	Sweden	Spain	2008	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	group
52	group	2	Spain	Sweden	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	group
53	group	0	Greece	Russia	2008	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	group
53	group	1	Russia	Greece	2008	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	group
54	group	1	Greece	Spain	2008	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	group
54	group	2	Spain	Greece	2008	0	34988	4	4	6.5	17.62844796	26	16.57	4	1323	2	75.266	7	0	0	69	1	5	0	30363	6	4	22	16.23265438	28.7	3.71	8	1196	14	25.831	0	0	0	69	0	9	group
55	group	2	Russia	Sweden	2008	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	group
55	group	0	Sweden	Russia	2008	0	52731	2	2	35	16.03285656	28.7	5.24	23	862	23	13.691	0	0	0	59	1	16	0	11700	5	5	22	18.77102771	25.7	5.47	25	856	6	43.75	0	5	0	61	0	1	group
56	final	2	Portugal	Germany	2008	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	ko
56	final	3	Germany	Portugal	2008	0	44132	5	3	4.5	18.22488283	26.8	10.19	5	1264	5	48.722	1	5	1	44	1	4	0	23716	5	3	7	16.17802121	26.5	11.84	9	1131	8	39.927	5	0	0	59	0	12	ko
