"team","opponent","max2","odds","market_value","FIFA_points","UEFA_rank","UEFA_points","CL_players","max2_opponent","odds_opponent","market_value_opponent","FIFA_points_opponent","UEFA_rank_opponent","UEFA_points_opponent","CL_players_opponent","result","past_scores","past_scores_opponent","GDP","GDP_opponent","population","population_opponent","t_sne_1","t_sne_2","id"
"France","Greece",0.5,0.000516528925619833,0.428363106088225,0.435283687943262,0.117647058823529,0.530512489503303,0.285714285714286,0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,"loss",1,0,0.750736059801287,0.0584861717289791,0.453622617069805,0.0618787486272633,150.231379298119,102.543092302475,26
"Sweden","Netherlands",0.25,0.173553719008264,0.114473204520598,0.294326241134752,0.676470588235294,0.134332660709138,0,0.5,0.0237603305785124,0.323368574553409,0.368794326241135,0.205882352941176,0.351974632458922,0,"draw",0.0329670329652216,0.45054945046975,0.146181448796479,0.213329464638894,0.0554711936473967,0.105769556218849,-177.932550864358,-180.057392667051,27
"Czech Republic","Denmark",0.25,0.0392561983471074,0.188844331024426,0.347517730496454,0.235294117647059,0.339366062140449,0.0714285714285714,0.25,0.173553719008264,0.1093693036821,0.329787234042553,0.617647058823529,0.143532154360986,0.0714285714285714,"win",0.285714285643642,0.19780219779133,0.0464240558822926,0.0832190015772512,0.0602314645341143,0.0260045617097964,-138.153102062814,-143.933033155385,28
"Portugal","Netherlands",0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,0.5,0.0237603305785124,0.323368574553409,0.368794326241135,0.205882352941176,0.351974632458922,0,"win",0.417582417504528,0.45054945046975,0.0524323676576405,0.213329464638894,0.0586545771970828,0.105769556218849,-38.6719632070289,132.906923425509,29
"Greece","Czech Republic",0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,0.25,0.0392561983471074,0.188844331024426,0.347517730496454,0.235294117647059,0.339366062140449,0.0714285714285714,"win",0,0.285714285643642,0.0584861717289791,0.0464240558822926,0.0618787486272633,0.0602314645341143,-199.172229590578,-22.4806792237867,30
"Portugal","Greece",0.75,0.0289256198347107,0.360554137805323,0.296099290780142,0.147058823529412,0.455400002506674,0.428571428571429,0.75,0.431818181818182,0.0743711265038279,0.274822695035461,0.176470588235294,0.360334390314212,0,"loss",0.417582417504528,0,0.0524323676576405,0.0584861717289791,0.0586545771970828,0.0618787486272633,100.492198703811,-203.921418183618,31
"Switzerland","Czech Republic",0.25,0.194214876033058,0.0867663142544659,0.256205673758865,0.441176470588235,0.228445736774161,0,0.5,0.121900826446281,0.134524243528983,0.812056737588652,0.411764705882353,0.247559126173437,0.0714285714285714,"loss",0.131868131860886,0.494505494478324,0.17194451271371,0.0464240558822926,0.0442514008954467,0.0602314645341143,-260.946599411303,-69.94322611779,32
"Portugal","Turkey",0.5,0.0392561983471074,0.388625592417062,0.711879432624113,0.205882352941176,0.425244714051161,0.357142857142857,1,0.328512396694215,0.126139263580022,0.468085106382979,0.294117647058824,0.322446012508303,0,"win",0.780219780121966,0.0659340659304432,0.0524323676576405,0.220875083148267,0.0586545771970828,0.536669670261594,-46.8912758598932,-170.503301593242,33
"Czech Republic","Portugal",0.5,0.121900826446281,0.134524243528983,0.812056737588652,0.411764705882353,0.247559126173437,0.0714285714285714,0.5,0.0392561983471074,0.388625592417062,0.711879432624113,0.205882352941176,0.425244714051161,0.357142857142857,"loss",0.494505494478324,0.780219780121966,0.0464240558822926,0.0524323676576405,0.0602314645341143,0.0586545771970828,-121.443364373716,-72.0266999850844,34
"Switzerland","Turkey",0.25,0.194214876033058,0.0867663142544659,0.256205673758865,0.441176470588235,0.228445736774161,0,1,0.328512396694215,0.126139263580022,0.468085106382979,0.294117647058824,0.322446012508303,0,"loss",0.131868131860886,0.0659340659304432,0.17194451271371,0.220875083148267,0.0442514008954467,0.536669670261594,-373.672290322171,14.2464421911214,35
