season,matchday,match,home,guest,homegoals,guestgoals
2013/14,31,8,1. FC Nürnberg,Bayer 04 Leverkusen,1,4
2013/14,31,9,VfB Stuttgart,FC Schalke 04,3,1
2013/14,30,1,FC Schalke 04,Eintracht Frankfurt,2,0
2013/14,30,2,Bor. Mönchengladbach,VfB Stuttgart,1,1
2013/14,30,3,Hannover 96,Hamburger SV,2,1
2013/14,30,4,VfL Wolfsburg,1. FC Nürnberg,4,1
2013/14,30,5,SC Freiburg,Eintracht Braunschweig,2,0
2013/14,30,6,1. FSV Mainz 05,Werder Bremen,3,0
2013/14,30,7,Bayern München,Borussia Dortmund,0,3
2013/14,30,8,Bayer 04 Leverkusen,Hertha BSC,2,1
2013/14,30,9,TSG Hoffenheim,FC Augsburg,2,0
2013/14,29,1,Hamburger SV,Bayer 04 Leverkusen,2,1
2013/14,29,2,VfB Stuttgart,SC Freiburg,2,0
2013/14,29,3,Werder Bremen,FC Schalke 04,1,1
2013/14,29,4,1. FC Nürnberg,Bor. Mönchengladbach,0,2
2013/14,29,5,FC Augsburg,Bayern München,1,0
2013/14,29,6,Eintracht Frankfurt,1. FSV Mainz 05,2,0
2013/14,29,7,Borussia Dortmund,VfL Wolfsburg,2,1
2013/14,29,8,Eintracht Braunschweig,Hannover 96,3,0
2013/14,29,9,Hertha BSC,TSG Hoffenheim,1,1
2013/14,28,1,FC Schalke 04,Hertha BSC,2,0
2013/14,28,2,Bayern München,TSG Hoffenheim,3,3
2013/14,28,3,Bayer 04 Leverkusen,Eintracht Braunschweig,1,1
2013/14,28,4,VfB Stuttgart,Borussia Dortmund,2,3
2013/14,28,5,VfL Wolfsburg,Eintracht Frankfurt,2,1
2013/14,28,6,1. FSV Mainz 05,FC Augsburg,3,0
2013/14,28,7,SC Freiburg,1. FC Nürnberg,3,2
2013/14,28,8,Bor. Mönchengladbach,Hamburger SV,3,1
2013/14,28,9,Hannover 96,Werder Bremen,1,2
2013/14,27,1,Borussia Dortmund,FC Schalke 04,0,0
2013/14,27,2,Werder Bremen,VfL Wolfsburg,1,3
2013/14,27,3,Eintracht Braunschweig,1. FSV Mainz 05,3,1
2013/14,27,4,Hertha BSC,Bayern München,1,3
2013/14,27,5,1. FC Nürnberg,VfB Stuttgart,2,0
2013/14,27,6,TSG Hoffenheim,Hannover 96,3,1
2013/14,27,7,FC Augsburg,Bayer 04 Leverkusen,1,3
2013/14,27,8,Hamburger SV,SC Freiburg,1,1
2013/14,27,9,Eintracht Frankfurt,Bor. Mönchengladbach,1,0
2013/14,26,1,SC Freiburg,Werder Bremen,3,1
2013/14,26,2,FC Schalke 04,Eintracht Braunschweig,3,1
2013/14,26,3,VfB Stuttgart,Hamburger SV,1,0
2013/14,26,4,Hannover 96,Borussia Dortmund,0,3
2013/14,26,5,VfL Wolfsburg,FC Augsburg,1,1
2013/14,26,6,1. FSV Mainz 05,Bayern München,0,2
2013/14,26,7,Bor. Mönchengladbach,Hertha BSC,3,0
2013/14,26,8,1. FC Nürnberg,Eintracht Frankfurt,2,5
2013/14,26,9,Bayer 04 Leverkusen,TSG Hoffenheim,2,3
2013/14,25,1,FC Augsburg,FC Schalke 04,1,2
